state,latitude,longitude,health_insurance_coverage,medicaid_enrollment,medicare_enrollment
Alabama ,32.806671,-86.79113,165534,910775,989855
Alaska ,61.370716,-152.404419,17995,166625,88966
Arizona ,33.729759,-111.431221,179445,1716198,1175624
Arkansas ,34.969704,-92.373123,63357,920194,606146
California,36.116203,-119.681564,1415428,11843081,5829777
Colorado,39.059811,-105.311104,108311,1375264,820234
Connecticut,41.597782,-72.755371,102917,761137,644136
Delaware ,39.318523,-75.507141,25379,236702,186835
District of Columbia,38.89511,-77.03637,17666,255491,90492
Florida ,27.766279,-81.686783,1531714,3644673,4149593
Georgia ,33.040619,-83.643074,478016,1782301,1574058
Hawaii,21.094318,-157.498337,13313,341200,252514
Idaho,44.240459,-114.478828,94270,293905,294284
Illinois ,40.349457,-88.986137,335243,3117939,2118300
Indiana ,39.849426,-86.258278,168884,1489805,1181014
Iowa ,42.011539,-93.210526,48949,619055,587780
Kansas ,38.5266,-96.726486,89566,421638,499753
Kentucky,37.66814,-84.670067,74640,1220788,881938
Louisiana ,31.169546,-91.867805,184403,1328708,817272
Maine ,44.693947,-69.381927,75240,273160,315160
Maryland,39.063946,-76.802101,135208,1252304,960848
Massachusetts,42.230171,-71.530106,207121,1684328,1252277
Michigan ,43.326618,-84.536095,313123,2300958,1947787
Minnesota,45.694454,-93.900192,74060,1051509,944222
Mississippi ,32.741646,-89.678696,77747,693869,571699
Missouri ,38.456085,-92.288368,252044,967284,1163543
Montana ,46.921925,-110.454353,51758,224048,209389
Nebraska ,41.12537,-98.268082,80213,242702,322796
Nevada,38.313515,-117.055374,79876,614298,471747
New Hampshire ,43.452492,-71.563896,49114,189429,275803
New Jersey ,40.298904,-74.521011,249395,1784529,1528961
New Mexico,34.840515,-106.248482,47497,766732,385918
New York,42.165726,-74.948051,224014,6431165,3424666
North Carolina ,35.630066,-79.806419,545354,2072282,1823454
North Dakota ,47.528912,-99.784012,20536,89763,122294
Ohio ,40.388783,-82.764915,212046,3003170,2208504
Oklahoma ,35.565342,-96.928917,130178,788544,693677
Oregon,44.572021,-120.538101,131167,1021862,784032
Pennsylvania ,40.590752,-77.209755,412347,2883114,2588577
Rhode Island,41.680893,-71.51178,35583,287173,208324
South Carolina ,33.856892,-80.945007,204846,994804,974114
South Dakota ,44.299782,-99.438828,24578,119835,161464
Tennessee ,35.747845,-86.692345,231705,1627100,1266920
Texas ,31.054487,-97.563461,1092650,4770229,3765946
Utah ,39.32098,-111.950684,164415,314182,358887
Vermont,44.045876,-72.710686,27883,175597,136021
Virginia ,37.769337,-78.169968,378838,988821,1392261
Washington,47.400902,-121.490494,158245,1788536,1238649
West Virginia ,38.491226,-80.954456,33235,575645,423500
Wisconsin ,44.268543,-89.616508,224208,1046897,1084854
Wyoming,42.755966,-107.30249,22076,63583,99128
